EP01: IN
EP01: はあ？ | 啊？
EP02: 壁のほう向いといて | 面向墙壁
EP02: すいません | 对不起
EP02: もう　めんどくさい | 真是 麻烦死了
EP02: オカルン　これ着て | 超然仔 穿上这个
EP02: 女物だけど大丈夫っしょ | 虽然是女装 但你应该能穿上
EP02: すいません | 对不起
EP02: そういえば今　アソコないんでしょ | 对了 你现在没那玩意了吧
EP02: え　なんですかそれ | 你在说什么
EP02: すいません　見てません | 对不起 我没看
EP02: もういいよ | 已经可以了
EP02: ねえねえ | 我说
EP02: アソコ見せてよ | 让我看看你那里
EP02: ターボババアが言ってたじゃん | 高速婆婆不是说过嘛
EP02: イチモツ取られてるから呪われてるって | 你的小弟弟被拿走了 所以才会被诅咒
EP02: ない | 没了
EP02: ウソウソどうなってんの | 不会吧 到底怎样了
EP02: ちょっと見せて | 让我看一眼
EP02: 見せられるか　バカか　あんた | 谁要给你看 你傻吗
EP02: いいじゃん　ないんだから | 没关系吧 反正都没了
EP02: あるとかないとかの問題じゃないでしょうが | 这不是有没有的问题吧
EP02: うわ　超ケチじゃね | 你也太小气了
EP02: 最悪だ | 真是糟透了
EP02: どうすんですかこれ　ないですよ | 这下怎么办 真的没了
EP02: ウチが悪いみたいに言わないでよ | 别说得像是我的错一样
EP02: 勝負しろって言ったのはそっちですからね | 不是你叫我去灵异地点试试看吗
EP02: はあ | 什么
EP02: そもそもウチはあんたのオカルト話なんか興味なかったの | 说到底 我对你的超自然话题就不感兴趣
EP02: あんたがめっちゃ話しかけてきてケンカ売ってきたんじゃん | 还不是你一个劲地找我搭话 找我茬吗
EP02: チャンスを逃したくなかったんですよ | 我不想错过那次机会
EP02: ジブンはずっと　友達が欲しかったから | 我一直都想有个朋友
EP02: このチャンスを逃したくないって思ったんですよ | 我当时就心想不要错过这次机会
EP02: だから必死に話しかけたんですよ | 所以才会拼命找你搭话
EP02: でも　やっぱり… | 不过 果然…
EP02: 綾瀬さんは住む世界が違うっていうか | 我和绫濑同学是不同世界的人
EP02: ジブンみたいのが話しかけていい人じゃないです | 我这种人不该找你搭话
EP02: すいませんでした | 对不起
EP02: 危険なことに巻き込んでしまって | 把你卷进这么危险的事
EP02: この件が済んだらまた無視してもらっていいですから | 这事结束之后你继续无视我就好
EP02: あんたのそういうとこマジウザい | 你这人就是这点麻烦
EP02: 勝手に他人のこと決めつけて　勝手に自己完結して | 擅自揣测他人的想法 又自顾自下定论
EP02: あんたに友達がいないのは　あんたが遠ざけてるからだろ | 总是在疏远别人 所以你才会没朋友吧
EP02: 「無視していい」なんて言わないでさ | 别再说什么「无视我就好」了
EP02: 普通にオカルトの話しようぜ | 咱们就正常地聊超自然话题吧
EP02: おい　なんか言え | 好了 说点什么
EP02: ツンツン | 戳戳
EP02: ブス | 丑八怪
EP02: 今なんつった　おら | 臭小子 你说什么
EP02: 綾瀬さんにはデリカシーがない | 绫濑同学一点都不体贴
EP02: 人の弱点をズケズケと | 直戳别人痛处
EP02: デリカシーってなんじゃあ | 什么叫体贴
EP02: もしかして　おばあさん帰ってきたんじゃないですか | 难道是你奶奶回来了吗
EP02: シッ　静かにして | 嘘 安静点
EP02: こんなチャイム聞いたことない | 我没听过这样的门铃声
EP02: どういうことですか | 什么意思
EP02: 前にばあちゃんが言ってた | 以前奶奶说过
EP02: うちの呼び鈴は２つあるって | 我家有两个门铃
EP02: １つは人間用 | 一个是给人类用的
EP02: もう１つは… | 另一个…
EP02: 悪霊用 | 是给恶灵用的
EP02: ヤバ　お札取っちゃったからだ | 遭了 都怪我把符咒揭下来了
EP02: 少しの間ならいいよね | 就揭掉一会没问题吧
EP02: なんかいますよ　そこ | 门口有什么东西
EP02: どうすんですか | 我们怎么办
EP02: お札を元に戻す | 要把符咒贴回原处
EP02: 悪霊ならあんたみたいに燃えるでしょ | 只要是恶灵 就会像你一样烧起来
EP02: ジブンも燃やす気ですか | 你打算连我一起烧了吗
EP02: あんたは敷地の外に出てりゃいいでしょ | 你跑到外面去不就行了
EP02: 外出るまでは　お札貼るの待っててくださいよ | 等我出去了你再贴符咒哦
EP02: いない　どこ行ったんだろ | 不见了 它跑去哪了
EP02: 綾瀬さん　これ | 绫濑同学 快看
EP02: ヤバい　ヤバい | 完蛋了
EP02: とにかく敷地の外に出よ | 总之先到外面去
EP02: そっち行って　そっち　早く | 往那边走 快点
EP02: あ…綾瀬さん | 绫…绫濑同学
EP02: なんじゃい | 咋了
EP02: 出れません | 出不去了
EP02: 壁に閉じ込められてますよ | 我们被关在墙里了
EP02: 鳥居　お札貼れそうじゃん | 鸟居 那里还能贴符咒
EP02: 待ってください　お札貼っちゃダメですよ | 等一等 不能贴
EP02: なんでよ | 为什么
EP02: 鳥居が壁に埋まってます | 鸟居也被埋进墙里了
EP02: これじゃ敷地の外に出られません | 这下我们出不去了
EP02: どうしよう　このままじゃマジで… | 怎么办 这样下去真的会…
EP02: 何これ | 这是什么
EP02: マジヤバいんですけど | 这下真的完蛋了
EP02: 綾瀬さん | 绫濑同学
EP02: たすけて | 救救我
EP02: オカルン　大丈夫 | 超然仔 你没事吧
EP02: しっかりして | 振作点
EP02: 血が | 出血了
EP02: 黒い霧　これのせいだ | 黑雾 是它导致的
EP02: みつけた | 找到你们了
EP02: あなた方は悪いヒトたちだ　約束を破ったでしょ | 你们打破约定了 你们是坏人类
EP02: バナナを…よこしなさああい | 快把性器…交出来
EP02: ヤバ　なにあの悪霊 | 完蛋 那个恶灵是怎么回事
EP02: てか　あんたアソコもう１個持ってんの | 话说 你还有一根那玩意吗
EP02: んなわけないでしょ | 怎么可能有
EP02: あれ宇宙人ですよ | 那是外星人
EP02: はあ？ | 啊？
EP02: 間違いないですよ　あのエラ | 看它头上的圈 错不了
EP02: フラッドウッズモンスターです | 那是弗拉特伍兹怪物
EP02: アメリカのフラッドウッズという町で目撃されたのが初めで | 首次目击于美国的弗拉特伍兹镇
EP02: 日本では山梨県で目撃されてて | 日本则是在山梨县有过目击记录
EP02: 「３メートルの宇宙人」として知られています | 俗称「三米高的外星人」
EP02: じゃあ　あの呼び鈴は　幽霊の仕掛けに宇宙人が反応したってこと | 你是说针对幽灵设置的门铃对外星人也起了反应吗
EP02: 心霊現象をよく見る人は　UFOもよく見るという調査結果が出ています | 有调查说经常遭遇灵异事件的人也会频繁遇到UFO
EP02: つまり　幽霊と宇宙人にはなんらかの共通点があるのかも | 也就是说 幽灵和外星人之间或许有着某种共通点
EP02: 昨日の宇宙人の仲間かよ　しつこいっつうの | 是昨天那群外星人的同伙吗 真烦啊
EP02: 早くあいつどうにかしないと毒霧に殺される | 不尽快解决它的话 我们会被毒雾毒死的
EP02: でも　オカルンの呪いを抑えてたんじゃうまく超能力使えないし | 但我得压制超然仔的诅咒 没法充分发挥超能力
EP02: 綾瀬さん | 绫濑同学
EP02: もうめんどい | 真是烦死了
EP02: あれ | 奇怪
EP02: もう | 真是的
EP02: 綾瀬さん | 绫濑同学
EP02: 今度は何 | 又怎么了
EP02: ジブンが戦います | 我也要战斗
EP02: 呪いを解いてください | 解放我身上的诅咒吧
EP02: 急にどうした | 你说什么呢
EP02: 宇宙人なら怖くないっす | 我不害怕外星人
EP02: 体の呪いだけ解放して　頭は抑えるってことできませんか | 你能在压制脑部诅咒的同时解放我身体的诅咒吗
EP02: 簡単に言うけどさ　まだこの力使いこなせてないから | 说得倒简单 但我还没熟练掌控这份力量
EP02: あわよくばババアの力をコントロールできるかも | 说不定我能控制婆婆的力量
EP02: ちゃんとできるかわかんないよ | 我可不保证能成功
EP02: お願いします | 拜托你了
EP02: 綾瀬さん | 绫濑同学
EP02: よこしなさあい | 快交出来
EP02: 来た　来た | 要砸下来了
EP02: 早くしてくださ | 请你快一点
EP02: すげえ　力があふれてくるぜ | 好厉害 力量满溢出来了
EP02: でも　すげえ鬱 | 但我好郁闷啊
EP02: 人格がぶっ壊れた | 人格崩坏了
EP02: 意識はハッキリしてるんだけどよお | 意识倒挺清晰
EP02: 気分が落ち込んでよお | 可心情好糟
EP02: そのしゃべり方なんなんだよ | 你这说话方式是怎么了
EP02: おっと悪い | 抱歉啊
EP02: ジブン　不器用だからよお | 毕竟我这个人比较笨拙
EP02: それ言うなって言ってんだろ | 让你别说这句话了
EP02: ジブンなんてよお　いなくなっちまえばいいのによお | 我这种人 要是能消失就好了
EP02: そのしゃべり方やめろ　腹立つ | 不准这么说话 让人火大
EP02: じゃあ　ちょっと行ってくるぜえ | 那我去去就回
EP02: どうせダメだろうけどよお | 反正都行不通
EP02: バカ | 白痴
EP02: 前見ろ　前 | 看前面啊 注意
EP02: 反射的に体が動いたぜ | 身体自己就动起来了
EP02: これがターボババアの力かよ | 这就是高速婆婆的力量吗
EP02: 萎えるぜ | 真郁闷
EP02: 速っ　いつの間にあんなこと | 好快 什么时候砍断它手指的
EP02: すごい　これならいけるかも | 厉害 这样说不定能打倒它
EP02: ちょっと　どうしたの　いきなり | 喂 你怎么了
EP02: オカルン | 超然仔
EP02: よこしなさい | 快交出来
EP02: ヤバ | 糟了
EP02: オカルン　大丈夫 | 超然仔 你没事吧
EP02: すいません　綾瀬さん | 对不起 绫濑同学
EP02: 呪いの力に体がついていけません | 我的身体承受不了诅咒的力量
EP02: 体がバラバラにはじけ飛びそうになるんです | 感觉身体像要爆开了一样
EP02: 人間が動ける速さじゃない | 那不是人类能承受的速度
EP02: なのにヤツに与えたダメージは指５本だけですよ | 尽管如此 我也只砍断了它五根手指
EP02: あんなのどうやって倒すんですかよ | 怎么才能打倒那家伙啊
EP02: 知らねえよ　ウチにキレんな | 我哪知道啊 吼我做什么
EP02: 倒し方わかってたら苦労してねえっつうの | 我要是知道还会这么辛苦吗
EP02: あいつさ… | 他那样…
EP02: 相撲じゃね | 是不是在相扑啊
EP02: はい | 什么
EP02: あいつの手を地面につかせたらさ　こっちの勝ちじゃね | 只要让它的手着地就算我们赢了吧
EP02: 綾瀬さん　天才っすか | 绫濑同学 你是天才吗
EP02: 知ってた | 我知道
EP02: あと１回が限界ですからね | 我最多再变身一次了
EP02: オカルンは脚狙って | 超然仔你冲它腿去
EP02: ウチは超能力で野郎を転ばすから | 我来用超能力放倒这家伙
EP02: ああ　鬱だ | 真郁闷
EP02: ある程度近づかないとダメだからサポートしてよね | 还得靠近点才行 帮我一把
EP02: めんどくせえ | 真麻烦
EP02: バナナよこせ | 交出性器
EP02: もうムリ | 我不行了
EP02: 右手で呪いを抑えて | 用右手抑制诅咒
EP02: そんでもってこいつを左手で… | 然后用左手把这家伙…
EP02: めんどくせえ | 麻烦死了
EP02: ああ　ちょっと | 啊 等下
EP02: ごめん　オカルン | 抱歉 超然仔
EP02: よっしゃあ　手が溶けてる | 太好了 他的手融化了
EP02: 狙いどおりですよ | 跟计划一样
EP02: ウソ | 不会吧
EP02: 綾瀬さん　逃げて | 绫濑同学 快逃
EP02: 綾瀬さん | 绫濑同学
EP02: ヤバいこれ　ヤバいやつだ | 糟糕 大事不妙
EP02: 戻った | 恢复了
EP02: ったく　世話が焼けるわ | 真是的 让人省省心吧
EP02: 相撲宇宙人 | 相扑外星人
EP02: てめえ　手ついただろうが | 你这家伙 手明明着地了吧
EP02: ズリいぞ　クソ野郎 | 耍赖是吧 王八蛋
EP02: 綾瀬さん | 绫濑同学
EP02: もっかい呪いを解放してください | 再解放一次我的诅咒
EP02: ジブンの体はどうなってもかまいません | 我的身体怎样都没关系
EP02: こいつはウチがぶっ倒す | 我来收拾这家伙
EP02: オカルンは見ときな | 你就在旁边给我看着
EP02: ズルするヤツは許せねえのよウチは | 我绝不原谅偷奸耍滑的家伙
EP02: ちょっと　何言ってんすか | 等等 你说什么呢
EP02: てめえはウチを怒らせたぜ　ザコ宇宙人 | 你惹火我了 杂鱼外星人
EP02: やめろお | 住手
EP02: 効かねえ | 我没事
EP02: ジブンの呪いを解いてください | 快解放我的诅咒
EP02: 綾瀬さん　お願いだから | 绫濑同学 求你了
EP02: それ以上は死んじゃいますよ | 再这样下去你会死的
EP02: いいんだよ　これで | 这样正好
EP02: この深さがいいんだ | 这个深度正好
EP02: この深さならよ… | 有这么深的话…
EP02: 鳥居の外にいるってことになるよな | 应该就在鸟居之外了吧
EP02: 戻った | 变回来了
EP02: 助かった | 得救了
EP02: オカルン　戻ったよ　ほら | 超然仔你看 变回来了
EP02: はい | 是啊
EP02: マジ死ぬかと思った | 我还以为这次死定了
EP02: 綾瀬さん呪いが | 绫濑同学 诅咒
EP02: ねえ　めんどくさい | 真是 麻烦死了
EP02: ちょっとは余韻に浸らせてよ | 让我再回味下胜利的喜悦嘛
EP02: んなこと言ったってしょうがないじゃないですか | 就算你这么说 我也没办法啊
EP02: あれ　髪形変えた | 你换了发型吗
EP02: そんなわけないでしょ | 怎么可能
EP02: なんかいい感じだよ | 感觉还不错
EP02: ウチはおばちゃんパーマのほうがよかったけど | 虽然我还是比较喜欢之前的大妈卷
EP02: バカにしてたでしょうが | 你就是在戏弄我吧
EP02: あれ　なんか目が回る | 奇怪 感觉有点头晕
EP02: ヤバい | 糟糕
EP02: 綾瀬さん | 绫濑同学
EP02: しっかりしてください　綾瀬さん | 振作一点 绫濑同学
EP02: フラッドウッズモンスターは1952年 | 弗拉特伍兹怪物于1952年
EP02: 数人の少年たちと兵士　その愛犬が遭遇していて | 由几名男孩 还有士兵及其爱犬发现
EP02: 事件当時… | 事发当时…
EP02: やっぱ　おばちゃんパーマのほうがよかったな | 果然还是大妈卷比较好
EP02: 話　聞いてます | 你有在听我说话吗
EP02: 次回 | 下集
EP02: 「ババアとババアが激突じゃんか」 | 「老太婆与老太婆的激战」
EP02: 日本では「３メートルの宇宙人」と呼ばれています | 在日本被称为「三米高的外星人」
EP02: #那不是外星人吗
EP02: #安家保身　扫灾除厄
EP02: #别进来
EP02: #「美国国防总部五角大楼」终于承认UFO存在!!
EP02: #UAP与UFO 公开美国军方的机密情报
EP02: #注：1952年于美国西维吉尼亚州目击到的怪物
EP02: #老太婆与老太婆的激战
EP02: OUT

EP03: IN
EP03: おめえの年　27だろ | 你27岁了吧
EP03: 二十歳です | 我二十岁
EP03: 妻子がいるだろ | 有妻儿了吧
EP03: １人暮らしです | 目前单身
EP03: カレーが好きだろ | 喜欢吃咖喱吧
EP03: ラーメンが好きです | 喜欢吃拉面
EP03: ドドリア三太　ヤバいっすね | 多多利亚三太真是不得了
EP03: 派手に外したなあ | 错得一塌糊涂
EP03: あんな若いアイドルに　妻子がいるわけないっしょ | 那么年轻的偶像怎么可能有妻儿
EP03: 俺でもわかるわ　そんなこと | 这种事连我能看出来
EP03: 大丈夫っすかね　あのまま放送して | 就这样播出来没问题吗
EP03: 大丈夫っしょ | 没问题吧
EP03: こんなローカル番組に腹立てるヤツもいねえだろ | 地方节目而已 也没人会生气吧
EP03: お客さん　ドドリア三太でしょ | 这位客人 你是多多利亚三太吧
EP03: この前　テレビで見ましたよ | 之前在电视上看到过你
EP03: あなた　本当に超能力あるんですか | 你真的有超能力吗
EP03: ここでいい　降ろせ | 就到这 让我下车
EP03: いや　別に悪口言おうってわけじゃなくて | 我没有说你坏话的意思
EP03: ちょっと見せてほしいなあって | 就是想见识见识
EP03: 死にたくなかったら　とっとと失せな | 不想死就赶紧滚
EP03: おいおい | 喂喂
EP03: またクズ男連れてきたのかと思ったらよ | 我还以为你又带渣男回家了
EP03: 人間じゃねえじゃねえか | 没想到这次连人都不是
EP03: まったく　うちの孫は問題ばっか持ってきやがる | 真是的 我家孙女老喜欢带一堆麻烦回来
EP03: ストレスでお肌がパサついちまうよ | 给我操劳得皮肤都干燥了
EP03: おら　かかってこい | 来吧 放马过来
EP03: あっぶねえ | 好险
EP03: めちゃくちゃ速えじゃん | 速度还挺快嘛
EP03: まあでも　予想どおり転がったな | 不过都在我的预料之中
EP03: ワシの死角に回り込むと思ってたぜ | 我就知道你想绕到我后背的死角
EP03: 前もって張っといたワナにまんまと入ってくれたぜ | 完全掉入了我预先设好的陷阱了
EP03: その線から出たら死ぬぜ | 出了那条线可是会死的
EP03: そいつは結界だからよ | 这是个结界
EP03: この円の内側に護符釘を打つと | 只要在圈内打上符钉
EP03: 円の内側が結界になるんだぜ | 圈内就会变成结界
EP03: 逆に外側に打つと | 反之如果打在圈外
EP03: 円の外側が結界になる | 圈外就会变成结界
EP03: おめえがワシに触れられなかったのはよ　ワシが結界に守られてたからだぜ | 你之所以没碰到我 是因为我有结界保护
EP03: てめえは必ず食い殺すぜえ | 我一定会咬死你
EP03: いつまでもワシを捕らえられると思うなよ | 别以为能一直困住我
EP03: ワシはおめえを捕らえてえんじゃねえ | 我不是要困住你
EP03: ぶっ殺してえんだ | 我要杀了你
EP03: おら　ちゃんと　ふんばれ | 给我站稳点
EP03: 線から出ちまうぜ | 要越线了
EP03: どうした　その中じゃ自慢のスピードも使えねえなあ | 怎么了 你引以为傲的速度在圈里发挥不了作用吗
EP03: この　クソババア | 你这臭老太婆
EP03: ババアがババアにクソババアって言いやがったな | 老太婆还叫别人臭老太婆
EP03: ムカつくぜ | 你惹恼我了
EP03: ワシを燃やせば　呪ってるこの男も死ぬぜ | 烧死我的话 这个被我诅咒的男人也会死
EP03: 孫をたぶらかすクソ男は全員ぶっ殺す | 我会杀掉所有欺骗我孙女的渣男
EP03: 人間でもな | 人类也不例外
EP03: あばよ | 再见了
EP03: クソババア | 臭老太婆
EP03: オカルン | 超然仔
EP03: ちょっと　帰ってたの | 原来你回来了
EP03: うるっせえぞ　今　バカ殿見てんだろうがよ | 别吵 我在看傻瓜殿下
EP03: そんなことより　ちょっと話あんだけど | 比起那个 我有话要说
EP03: 心霊スポット行ったのか | 你去了灵异地点吗
EP03: 行った | 去了
EP03: ウチじゃなくて　友達が | 但不是我 是我朋友
EP03: なんで | 为什么
EP03: なんでって　話してて　流れでそうなった | 也不为什么 顺着话题聊着聊着就去了
EP03: バカ殿は日本の宝だぜ | 傻瓜殿下简直是日本国宝
EP03: ねえ　聞いてんのかよ | 喂 你在听我说话吗
EP03: てか　男のヤツ見なかった | 对了 你见没见过一个男的
EP03: そいつ　ウチがいないとヤバいんだよ | 我不在的话 他会很危险
EP03: 悪霊ならぶっ殺したぜ | 你指恶灵的话 我已经杀掉了
EP03: はあ | 什么
EP03: 悪霊って　どんなヤツ？ | 长什么样的恶灵？
EP03: メガネかけてる | 戴着眼镜吗
EP03: おいおい　おめえ　幽霊なんか信じてねえだろうがよ | 喂喂 你不是不相信幽灵存在吗
EP03: それに　ワシはエセ霊媒師だぜ | 何况我还是个骗子灵媒师
EP03: いつまで根に持ってんだよ　クソババア | 你要记仇到什么时候 臭老太婆
EP03: ヤバいことになるかもしんねえんだよ　ちゃんと答えろ | 指不定会发生很危险的事 好好回答我
EP03: よせよ　こんな話信じるな | 得了吧 别信我说的话
EP03: 悪霊なんかいねえし　ワシはニセモノだ | 恶灵什么的不存在 我就是个骗子
EP03: おばあちゃん | 奶奶
EP03: ごめんなさい　ウチが間違ってました | 对不起 是我错了
EP03: だから教えて　悪霊をどうしたの | 所以请告诉我 你对恶灵做了什么
EP03: 本殿へ行ってみろ | 你去正殿看看
EP03: クソババア | 臭老太婆
EP03: オカルンに何かあったら許さねえから | 要是超然仔出了什么事 我饶不了你
EP03: このチャンスを逃したくなかったんです | 我不想错过那次机会
EP03: あいつはただオカルトが好きで | 他只是喜欢超自然事物
EP03: 友達が欲しかっただけなのに | 只是想有个朋友啊
EP03: ウチのせいだ | 都怪我
EP03: ウチが無理やりあんなとこ行かせたから | 是我逼他去了那种地方
EP03: ごめん　オカルン | 对不起 超然仔
EP03: オカルン | 超然仔
EP03: 綾瀬さん　よかった | 绫濑同学 太好了
EP03: てっきり　ジブンが綾瀬さんを殺したんじゃないかって | 我还以为我把你给杀了
EP03: ちょっと綾瀬さん | 怎么了 绫濑同学
EP03: 綾瀬さん | 绫濑同学
EP03: 生きてんじゃねえかよ　クソメガネ | 这不是活得好好的吗 臭四眼
EP03: なんすか　それ | 你这是什么意思
EP03: 生きててどうもサーセンでしたねえ | 我还活着真是对不起了
EP03: イライラするわ | 真叫人恼火
EP03: いつからバケモノを友達にするようになったんだ | 你什么时候和怪物交上朋友的
EP03: ビックリした | 吓我一跳
EP03: その中なら呪いは発動しねえ | 在那房间诅咒不会生效
EP03: だがひとたび外へ出れば　バケモノに逆戻りだ | 不过一旦出来 他就会变回怪物
EP03: 何がぶっ殺しただよ　ウソつきやがって | 干嘛要说杀掉了 你个骗子
EP03: ずいぶん必死だったじゃねえか | 你刚才还真是着急呢
EP03: あんなガキがお気に入りかよ | 看上那小鬼了吗
EP03: 違う | 才不是
EP03: こいつ　ターボババアにアソコ取られちゃってて | 他的那玩意被高速婆婆抢走了
EP03: ババアに　アソコを取られてるかぎり　呪いは解けないって言われてさ | 还说只要那玩意还在她手上 诅咒就不会解除
EP03: こうなったのウチにも責任あるし | 事情发展成这样我也有责任
EP03: なんとかしてあげたいって思ってるだけ | 我只是想为他做点什么
EP03: へえ　そうかい　好きかい | 这样啊 你喜欢他啊
EP03: 言ってねえわ | 我没说这话
EP03: それでさ　ウチ超能力使えるようになった | 还有 我能使用超能力了
EP03: なに言ってんだ　おめえ | 你在说什么啊
EP03: UFOに遭える場所に行ってさ | 我去了UFO出没的地方
EP03: そこでいろいろあって　使えるようになった | 在那里遇上了些事 就觉醒超能力了
EP03: ユーフォーなんているわけねえだろ | 怎么可能有UFO
EP03: わかるわ　その反応 | 你这反应我太懂了
EP03: ウチも昨日まではそうだった | 直到昨天前我也是那么想的
EP03: とにかく　超能力が使えるようになったのはホントで | 总之 我能使用超能力是事实
EP03: それでオカルンの呪いを抑えてないとヤバい感じなの | 不压制住超然仔的诅咒会很危险
EP03: 超能力って力はあるだろうよ | 超能力应该是存在的
EP03: 信じてる基準がわかんねえ | 搞不懂你的判定标准
EP03: しかし　ターボババアとはよ | 不过居然是高速婆婆
EP03: また　やっかいなヤツに手出したな | 你又惹上麻烦的家伙了
EP03: 昔は100キロババアとか呼ばれててよ | 过去她被称作百里婆婆
EP03: 全国各地で暴れ回ってた近代妖怪だぜ | 是在全国各地作祟的近代妖怪
EP03: そんな神出鬼没の野郎が | 听说这个神出鬼没的家伙
EP03: 最近あのトンネルに長いこと居座ってるって聞いて | 最近长期待在那条隧道里
EP03: 一度だけ様子を見に行ったことがある | 我曾去探过究竟
EP03: 異様だったぜ | 情况十分异常
EP03: あまりの霊気の強さに | 由于灵气过盛
EP03: トンネルに近づくことさえできなかった | 我甚至没法接近隧道
EP03: 地縛霊って知ってるか | 你知道地缚灵吗
EP03: 何か強い執着を持って　その場所に居続ける霊のことだが | 它们是怀有某种执念 长期驻足于某处的鬼魂
EP03: ヤツらは自分のテリトリーの中ではほぼ最強だ | 当其身处自己的地盘时 几乎是无敌的
EP03: どんな霊媒師も　地縛霊とはまともにやり合わねえ | 无论多强的灵媒师 都不会和地缚灵正面交锋
EP03: その地縛霊があのトンネルにはいた | 那条隧道里就有一只地缚灵
EP03: それがどういうことかわかるか | 你知道这意味着什么吗
EP03: ターボババアと地縛霊が合体してやがったのさ | 高速婆婆和地缚灵合体了
EP03: あれには手を出すな | 别去找它动手
EP03: ワシも大事な孫を失いたくねえ | 我也不想失去宝贝孙女
EP03: おめえは直接的には関係ないし | 这事和你没有直接关系
EP03: そいつのことは忘れろ | 忘了他
EP03: おめえは日常に戻れ | 回归日常生活吧
EP03: ウチがラブな健さんだったら　こういう時　どうするだろうって | 我深爱的健先生此刻会怎么做
EP03: いつも迷ったらそう考えることにしてて | 每当我迷茫时 我都会这么想
EP03: 今までそれで後悔したことないの | 所以至今我从未做过后悔的事
EP03: んでさ　健さんなら100パー助けるんだわ | 所以我想 换作健先生 他百分百会选择帮忙
EP03: だから　ウチもそうする | 所以 我也会帮忙
EP03: 「健さん」って　おめえ | 居然叫他「健先生」
EP03: そのガキ　大好きじゃん | 看来你很喜欢那个小鬼呢
EP03: ああいや　違うから | 不是 你搞错了
EP03: こいつのことじゃないから | 我不是在说他
EP03: おい　告られてんぞ　どんな気分だ | 喂 你被告白了哦 感觉如何
EP03: 違うっつってんだろ　俳優のほうだって | 都说了不是啊 我是指那位演员
EP03: しかたねえ　そこまで言うなら | 没办法 你都这么说了
EP03: ターボババアと鬼ごっこしろ | 去和高速婆婆玩躲猫猫吧
EP03: ヤツは自分の足に絶対的自信を持ってる | 她对自己的脚力有绝对自信
EP03: 適当に挑発すれば　必ずそれに乗ってくる | 随便挑衅一下 她准会上钩
EP03: 問題なのはここからだ | 这之后才是关键
EP03: 地縛霊のテリトリーは正能市内 | 地缚灵的地盘在正能市内
EP03: そこからターボババアを市外へ誘い出せ | 要把高速婆婆从那里引到市外
EP03: 捕まらずにな | 当然得不被抓住
EP03: テリトリーから引き離せれば | 只要把她引出地盘
EP03: ヤツは弱体化して　おめえらでも倒せるようになる | 她就会弱化 即便是你们也能打倒她
EP03: いやいや　この軟弱な脚見てよ | 不行 看看我这孱弱的双腿
EP03: ターボババア相手に鬼ごっことか　絶対ムリ | 和高速婆婆玩躲猫猫 我绝对赢不了
EP03: そんなんじゃなくてさ | 不说这个了
EP03: あの結界とか使ってなんとかできない | 就不能用那结界做点事吗
EP03: トンネルに貼るとかさ | 比如贴在隧道里
EP03: そいつはできねえな | 这可做不到
EP03: そもそも　ワシは手伝えねえ | 再说了 我又帮不了忙
EP03: はあ　何それ | 啊 为什么
EP03: ワシの結界術は　この土地に住む神様の力を借りてるにすぎねえ | 我的结界术不过是借用了这片土地上神灵的力量
EP03: ワシらの住む神越市を出たら　この能力は使えねえ | 只要出了我们居住的神越市 这个能力就没法用了
EP03: ウチらもテリトリー持ってんだ | 原来我们也有自己的地盘
EP03: すべての土地がそれぞれの神を持ってる | 每一片土地都有各自的神灵
EP03: 問題はホームかアウェーかってことだ | 问题在于你是主场还是客场
EP03: とにかく　ターボババアを倒すにはこれしかねえ | 总而言之 要打败高速婆婆只有这一个办法
EP03: 今から体鍛えりゃ　ババアから逃げられるくらいにはなるだろ | 只要现在开始锻炼身体 还是有机会从婆婆手中逃脱的吧
EP03: マジで言ってんの　それ | 你是认真的吗
EP03: ウチがどんだけがんばったって　陸上の県大会にも出れねえから | 不管我怎么努力 都不配参加县田径赛
EP03: おめえじゃねえよ | 不是让你跑
EP03: こいつだ | 是让这家伙
EP03: あっ　そっか | 哦 对啊
EP03: やっと　話に入れてもらえるんすか | 终于能让我插两句了吗
EP03: ごめん　忘れてた | 抱歉 把你忘了
EP03: でも　オカルン　スタミナないし | 可他也没那耐力呀
EP03: 全くないっす | 说得没错
EP03: ウチが呪いコントロールしとかなきゃいけないし | 还必须有我压制着诅咒才行
EP03: じゃあ　モモを背負って走れ | 那你背着小桃跑吧
EP03: 綾瀬さん　体重いくつですか | 绫濑同学 你有多重
EP03: おい　死にてえのか | 你想死吗
EP03: いやー　ムリっすねえ | 啊 我觉得不行
EP03: ジブン　呪い状態で全力出せるの　２回が限界です | 我在诅咒状态下 也只能使出两次全力
EP03: だよねえ | 就是说啊
EP03: だったら常に全力出せるように鍛えろ | 那就锻炼到能一直使出全力为止
EP03: 今から腕立て　腹筋　背筋　スクワット　100回5セットだ | 现在就做俯卧撑 卷腹 拉背 深蹲 各五组每组100下
EP03: やれ | 快练
EP03: あと　モモ　おめえの超能力もだ | 还有小桃 你的超能力也一样
EP03: 今以上にレベルアップさせる必要がある | 你要变得比现在更强
EP03: ワシが協力できねえ以上　おめえら自身が強くなるしかねえ | 既然我帮不上忙 就只能让你们自身变强了
EP03: だからワシがおめえらを鍛えてやる | 所以我会好好锻炼你们的
EP03: 今日はもう寝な　明日から始めるぜ | 今天先睡吧 明天再开始
EP03: メガネはすぐに筋トレ始めろ | 四眼仔你现在就开始练
EP03: あ　はい | 啊 好的
EP03: 若いっすね　おばあさん | 真年轻啊 你奶奶
